# Network Log File - Created on 2025-05-21
# [Timestamp] [Protocol] [Source] -> [Destination] [Flags] [Payloads] [Details]
[2025-05-21T17:02:28.167128] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:28.316614] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:28.402879] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:28.487218] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:28.571603] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:28.670770] [UDP] [149.88.31.108:5001] -> [192.168.31.133:65127] [N/A] [193] [{}]
[2025-05-21T17:02:28.755062] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [S] [None] [{}]
[2025-05-21T17:02:28.840918] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [SA] [None] [{}]
[2025-05-21T17:02:28.925836] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [A] [None] [{}]
[2025-05-21T17:02:29.009931] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [PA] [517] [{}]
[2025-05-21T17:02:29.094679] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [A] [None] [{}]
[2025-05-21T17:02:29.168784] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [A] [2872] [{}]
[2025-05-21T17:02:29.253328] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [PA] [418] [{}]
[2025-05-21T17:02:29.327763] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [A] [None] [{}]
[2025-05-21T17:02:29.402002] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [PA] [80] [{}]
[2025-05-21T17:02:29.487360] [UDP] [192.168.31.133:65127] -> [149.88.31.108:5001] [N/A] [36] [{}]
[2025-05-21T17:02:29.571536] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [A] [None] [{}]
[2025-05-21T17:02:29.646022] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [PA] [231] [{}]
[2025-05-21T17:02:29.730624] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [A] [None] [{}]
[2025-05-21T17:02:29.803868] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [PA] [821] [{}]
[2025-05-21T17:02:29.878097] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [PA] [231] [{}]
[2025-05-21T17:02:29.962505] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [PA] [335] [{}]
[2025-05-21T17:02:30.036870] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:30.121902] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:30.195959] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:30.270471] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:30.354556] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:30.427838] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
[2025-05-21T17:02:30.502551] [TCP] [192.168.31.133:52386] -> [142.250.183.99:443] [S] [None] [{}]
[2025-05-21T17:02:30.587891] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [PA] [24] [{}]
[2025-05-21T17:02:30.661892] [TCP] [142.250.183.99:443] -> [192.168.31.133:52386] [SA] [None] [{}]
[2025-05-21T17:02:30.745650] [TCP] [192.168.31.133:52386] -> [142.250.183.99:443] [A] [None] [{}]
[2025-05-21T17:02:30.820052] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [FA] [None] [{}]
[2025-05-21T17:02:30.894835] [UDP] [192.168.31.133:65126] -> [149.34.253.59:5001] [N/A] [98] [{}]
[2025-05-21T17:02:30.979062] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [A] [None] [{}]
[2025-05-21T17:02:31.052732] [TCP] [192.168.31.133:52385] -> [104.16.248.249:443] [FA] [None] [{}]
[2025-05-21T17:02:31.137165] [TCP] [104.16.248.249:443] -> [192.168.31.133:52385] [A] [None] [{}]
[2025-05-21T17:02:31.213537] [UDP] [149.34.253.59:5001] -> [192.168.31.133:65126] [N/A] [26] [{}]
[2025-05-21T17:02:31.296583] [UNKNOWN] [N/A:None] -> [N/A:None] [N/A] [None] [{}]
