=== Running Processes ===
Collection Time: 2025-05-21 17:07:32

PID        CPU %      Memory %   Name                           Username             Created                   Connections
----------------------------------------------------------------------------------------------------
0          0.0        0.0        System Idle Process            NT AUTHORITY\SYSTEM  N/A                       2
4          0.0        0.0        System                         NT AUTHORITY\SYSTEM  N/A                       7
188        0.0        0.3                                       N/A                  2025-05-21 14:36:29       0
232        0.0        0.4        Registry                       N/A                  2025-05-21 14:36:29       0
696        0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
724        0.0        0.0        smss.exe                       N/A                  2025-05-21 14:36:39       0
900        0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       2
1080       0.0        0.0        csrss.exe                      N/A                  2025-05-21 14:36:46       0
1216       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
1220       0.0        0.0        wininit.exe                    N/A                  2025-05-21 14:36:49       2
1228       0.0        0.0        csrss.exe                      N/A                  2025-05-21 14:36:49       0
1248       0.0        0.0        conhost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:23       0
1252       0.0        2.7        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:46:07       0
1320       0.0        0.1        winlogon.exe                   N/A                  2025-05-21 14:36:49       0
1360       0.0        0.1        services.exe                   N/A                  2025-05-21 14:36:49       2
1372       0.0        0.0        LsaIso.exe                     N/A                  2025-05-21 14:36:49       0
1392       0.0        0.2        lsass.exe                      N/A                  2025-05-21 14:36:49       2
1456       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
1524       0.0        0.2        svchost.exe                    N/A                  2025-05-21 14:36:49       0
1556       0.0        0.0        fontdrvhost.exe                N/A                  2025-05-21 14:36:49       0
1564       0.0        0.0        fontdrvhost.exe                N/A                  2025-05-21 14:36:49       0
1656       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:49       2
1708       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:49       0
1776       0.0        0.1        WmiPrvSE.exe                   N/A                  2025-05-21 17:07:04       0
1780       0.0        0.5        dwm.exe                        N/A                  2025-05-21 14:36:50       0
1860       0.0        0.0        svchost.exe                    N/A                  2025-05-21 14:36:50       0
1964       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
1972       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
1980       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
2052       0.0        0.2        NVDisplay.Container.exe        N/A                  2025-05-21 14:36:50       0
2132       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
2140       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
2168       0.0        0.0        svchost.exe                    N/A                  2025-05-21 14:36:50       0
2248       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
2268       0.0        0.0        atiesrxx.exe                   N/A                  2025-05-21 14:36:50       0
2396       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
2492       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       2
2580       0.0        0.1        svchost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:54       0
2600       0.0        0.0        svchost.exe                    N/A                  2025-05-21 14:36:50       0
2684       0.0        0.2        svchost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:54       0
2692       0.0        0.2        svchost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:56       0
2796       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
2804       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
2852       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       8
2888       0.0        0.1        svchost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:57       0
2920       0.0        0.1        dllhost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 15:27:34       0
3064       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
3120       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
3236       0.0        0.1        svchost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:54       0
3240       0.0        0.5        TextInputHost.exe              LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:07       0
3248       0.0        0.0        backgroundTaskHost.exe         LAPTOP-RUPESH\Rupesh 2025-05-21 14:43:57       0
3288       0.0        0.0        svchost.exe                    N/A                  2025-05-21 14:36:50       0
3296       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
3304       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
3320       0.0        0.1        atieclxx.exe                   N/A                  2025-05-21 14:36:50       0
3360       0.0        2.9        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:21       0
3364       0.0        0.0        LenovoVantage-(GenericMessagin LAPTOP-RUPESH\Rupesh 2025-05-21 14:42:03       0
3384       0.0        0.3        ApplicationFrameHost.exe       LAPTOP-RUPESH\Rupesh 2025-05-21 15:25:22       0
3396       0.0        3.8        MemCompression                 N/A                  2025-05-21 14:36:50       0
3436       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:50       0
