=== Windows Services ===
Collection Time: 2025-05-21 17:07:34

Name                                          PathName                                                                                                                                                                                                                                                                                                                                                                                                                    StartMode  StartName                    State    Status   

ALG                                           C:\WINDOWS\System32\alg.exe                                                                                                                                                                                                                                                                                                                                                                                                 Manual     NT AUTHORITY\LocalService    Stopped  OK       

AMD External Events Utility                   C:\WINDOWS\System32\DriverStore\FileRepository\u0359763.inf_amd64_cbe903b159d3b969\B359805\atiesrxx.exe                                                                                                                                                                                                                                                                                                                     Auto       LocalSystem                  Running  OK       

AntiCheatExpert Protection                    "C:\Program Files\AntiCheatExpert\ACE-Service64.exe"  -autorun                                                                                                                                                                                                                                                                                                                                                              Manual     LocalSystem                  Stopped  OK       

AntiCheatExpert Service                       "C:\Program Files\AntiCheatExpert\SGuard\x64\SGuardSvc64.exe" -autorun                                                                                                                                                                                                                                                                                                                                                      Manual     LocalSystem                  Stopped  OK       

AppIDSvc                                      C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                         Manual     NT Authority\LocalService    Stopped  OK       

Appinfo                                       C:\WINDOWS\system32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Running  OK       

AppReadiness                                  C:\WINDOWS\System32\svchost.exe -k AppReadiness -p                                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Stopped  OK       

AppXSvc                                       C:\WINDOWS\system32\svchost.exe -k wsappx -p                                                                                                                                                                                                                                                                                                                                                                                Manual     LocalSystem                  Stopped  OK       

ApxSvc                                        C:\WINDOWS\system32\svchost.exe -k LocalService -p                                                                                                                                                                                                                                                                                                                                                                          Manual     NT AUTHORITY\LocalService    Stopped  OK       

AudioEndpointBuilder                          C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Auto       LocalSystem                  Running  OK       

Audiosrv                                      C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                         Auto       NT AUTHORITY\LocalService    Running  OK       

